処理名,解説
疲労させる,"疲労させるとは、ユニットが攻撃に参加したときや、(T)コストを支払う時などにその場在カードは疲労状態になる。疲労状態のユニットは、攻撃にも防御にも参加できない。
いわゆる召喚酔い状態の時、そのユニットはコストに(T)コストを含む起動能力を起動できない。
もともと疲労状態だった場在カードを疲労させることはできない。この場合、疲労させるという行動は無視され、なにも起こらない。そのため、これにより「○○が疲労状態になるたび〜」の能力が誘発することはない。"
活性化させる,"活性化させるとは、疲労状態の場在カードを横から縦に戻すことを意味する。つまり再利用可能になるということ。
もともと活性状態だった場在カードを活性化させることはできない。この場合、活性化させるという行動は無視され、なにも起こらない。そのため、これにより「○○が活性状態になるたび〜」の能力が誘発することはない。"
登場する,"カードが登場するとは、そのカードを現在ある領域からバトルゾーンに移動させることを意味する。
登場することはカードを置くことに含まれる。
結晶ゾーンに置かれることは登場するとは言わない。"
召喚する,"ユニットを召喚するとは、やがて解決されてその効果が発生するよう、そのユニットを現在ある場所からチェインに置き、コストを支払うことを意味する。
ユニットを召喚するためには、以下の一連の手順を踏む必要がある。
手順はおおまかにユニットの提示(1-5)とコストの支払い(6-8)にわかれる。手順を完了できない場合、それは不正な処理として巻き戻される。
1.ユニットを召喚することを宣言し、カードを元ある領域からチェインの一番上に乗せる。
2.代替コストや追加コスト、コアコストにＸの値など、そのユニットを召喚する際に必要な選択を宣言する。
3.対象の数を宣言したのち、対象を宣言する。
4.対象への割り振りがある場合は、それをどう割り振るかを宣言する。
5.ここまでの宣言や選択を考慮し、ユニットが適正に唱えられるかどうか判定する。不正であった場合は召喚することを宣言する直前まで巻き戻される。
6.総コストが決定される。これ以降、総コストは固定される。
7.総コストにコアの支払いが含まれる場合、コア能力を起動する機会を得る。
8.すべてのコストを好きな順で支払う。
9.これらの手順を完了することで、ユニットは召喚されたことになる。この条件で誘発する能力はその時点で誘発する。"
発動する,"カードを発動するとは、やがて解決されてその効果が発生するよう、ユニット以外のそのカードを現在ある場所からチェインに置き、コストを支払うことを意味する。
カードを発動するためには、以下の一連の手順を踏む必要がある。
手順はおおまかにカードの提示(1-5)とコストの支払い(6-8)にわかれる。手順を完了できない場合、それは不正な処理として巻き戻される。
1.カードを発動することを宣言し、カードを元ある領域からチェインの一番上に乗せる。
2.代替コストや追加コスト、コアコストにＸの値など、そのカードを発動する際に必要な選択を宣言する。
3.対象の数を宣言したのち、対象を宣言する。
4.対象への割り振りがある場合は、それをどう割り振るかを宣言する。
5.ここまでの宣言や選択を考慮し、カードが適正に唱えられるかどうか判定する。不正であった場合は発動することを宣言する直前まで巻き戻される。
6.総コストが決定される。これ以降、総コストは固定される。
7.総コストにコアの支払いが含まれる場合、コア能力を起動する機会を得る。
8.すべてのコストを好きな順で支払う。
9.これらの手順を完了することで、カードは発動されたことになる。この条件で誘発する能力はその時点で誘発する。"
起動する,"起動能力を起動するとは、やがて解決されてその効果が発生するよう、その能力をチェインに置き、コストを支払うことを意味する。
特に示されていない限り、カードのコントローラー（コントローラーがいない場合は持ち主）のみがそのカードの起動能力を起動できる。
特に示されていない限り、起動能力はフラッシュと同じく優先権を持つタイミングであればいつでも起動できる。
能力を起動するためには、以下の一連の手順を踏む必要がある。
1.能力を起動することを宣言し、その能力をカードとしてチェインの一番上に乗せる。
　非公開領域から能力が起動される場合は、その能力を持つカードを公開する。
2.その能力がモードを持つ場合、そのモードの選択を宣言する。
3.その能力が代替コストや追加コストなどを持つ場合、どれを支払うのかを宣言する。Xなどの可変コストを持つ場合、その値を宣言する。混成コア・シンボルやファイレクシア・コア・シンボルを持つ場合、どのように支払うかを宣言する。
4.対象の数を宣言したのち、対象を宣言する。
　対象への割り振りがある場合は、それをどう割り振るかを宣言する。
5.総コストが決定される。これ以降、総コストは固定される。
　総コストにコアの支払いが含まれる場合、コア能力を起動する機会を得る。
6.すべてのコストを好きな順で支払う。
これらの手順を完了することで、能力は起動されたことになる。この条件で誘発する能力はその時点で誘発する。"
破壊する,"「場在カードを破壊する」とは、「その場在カードを場から墓地に置く」ことを意味する。
触死ダメージを与えられている、ＨＰが正の値であるユニットは破壊される。これは状況起因処理である。
前回の状況起因処理のチェック以降に触死を持つ発生源からダメージを与えられた、ＨＰが正の値であるユニットは破壊される。これは状況起因処理である。
破壊不能を持つ場在カードは、それを破壊するような効果や状況起因処理を無視する。
・場から墓地に移動することすべてが破壊ではない。一例として、以下のような状況は「破壊」ではないため注意が必要である。
　生け贄に捧げられた場在カードが持ち主の墓地に置かれる。
　ＨＰが０以下となったユニットが状況起因処理により持ち主の墓地に置かれる。
　エピック・ルールが適用された場在カードが状況起因処理により持ち主の墓地に置かれる。"
生け贄に捧げる,カードを「生け贄に捧げる」とは、そのカードを持ち主の場からそのプレイヤーの墓地に置くことである。
追放する,"カードを「追放する」とは、そのカードを現在ある領域から追放領域に移動させることである
追放領域にあるカードは、追放されたカードと表現される。"
捨てる,カードを「捨てる」とは、そのカードを持ち主の手札からそのプレイヤーの墓地に置くことである。
生成する,"トークンを「生成する」とは、指定された特性を持つトークンを指定された数だけバトルゾーンに置くことである。
召喚ではない。原則として活性状態で置かれる。"
